session_id,user_id,device,traffic_source,region,event_stage,event_timestamp,order_value
S100020,U18241,mobile,paid_ads,South,add_to_cart,2025-12-24 15:42:00,
S100021,U23182,mobile,social,East,view_product,2025-11-21 21:41:00,
S100022,U43919,mobile,email,West,view_product,2025-10-16 07:14:00,
S100022,U43919,mobile,email,West,add_to_cart,2025-10-16 07:15:00,
S100022,U43919,mobile,email,West,checkout_start,2025-10-16 07:17:00,
S100022,U43919,mobile,email,West,purchase,2025-10-16 07:18:00,29.55
S100023,U13858,mobile,paid_ads,South,view_product,2025-10-09 01:55:00,
S100024,U43695,mobile,organic_search,South,view_product,2025-11-05 21:31:00,
S100024,U43695,mobile,organic_search,South,add_to_cart,2025-11-05 21:34:00,
S100025,U40976,tablet,direct,South,view_product,2025-11-30 13:12:00,
S100025,U40976,tablet,direct,South,add_to_cart,2025-11-30 13:19:00,
S100025,U40976,tablet,direct,South,checkout_start,2025-11-30 13:23:00,
S100025,U40976,tablet,direct,South,purchase,2025-11-30 13:24:00,153.04
S100026,U16449,tablet,direct,North,view_product,2025-11-21 23:21:00,
S100027,U17161,desktop,social,South,view_product,2025-10-25 06:34:00,
S100028,U37648,mobile,organic_search,South,view_product,2025-11-05 14:15:00,
S100029,U14940,mobile,organic_search,West,view_product,2025-12-10 03:03:00,
S100030,U10967,mobile,organic_search,North,view_product,2025-10-31 05:26:00,
S100031,U24008,desktop,paid_ads,West,view_product,2025-10-08 05:24:00,
S100031,U24008,desktop,paid_ads,West,add_to_cart,2025-10-08 05:31:00,
S100031,U24008,desktop,paid_ads,West,checkout_start,2025-10-08 05:35:00,
S100031,U24008,desktop,paid_ads,West,purchase,2025-10-08 05:44:00,150.68
S100032,U41894,mobile,paid_ads,South,view_product,2025-10-25 09:13:00,
S100033,U13994,mobile,direct,East,view_product,2025-10-08 01:37:00,
S100034,U44807,mobile,social,South,view_product,2025-10-08 16:05:00,
S100035,U14490,desktop,organic_search,North,view_product,2025-12-26 07:25:00,
S100035,U14490,desktop,organic_search,North,add_to_cart,2025-12-26 07:29:00,
S100035,U14490,desktop,organic_search,North,checkout_start,2025-12-26 07:30:00,
S100035,U14490,desktop,organic_search,North,purchase,2025-12-26 07:37:00,149.76
S100036,U44261,mobile,direct,East,view_product,2025-11-03 06:42:00,
S100037,U25642,desktop,email,East,view_product,2025-11-20 04:42:00,
S100038,U39964,desktop,organic_search,East,view_product,2025-10-10 00:29:00,
S100039,U16552,mobile,organic_search,North,view_product,2025-12-08 06:32:00,
S100039,U16552,mobile,organic_search,North,add_to_cart,2025-12-08 06:38:00,
S100040,U26009,desktop,email,East,view_product,2025-11-06 05:28:00,
S100041,U29825,mobile,organic_search,North,view_product,2025-12-25 17:19:00,
S100042,U16788,mobile,organic_search,South,view_product,2025-11-03 03:56:00,
S100042,U16788,mobile,organic_search,South,add_to_cart,2025-11-03 03:59:00,
S100042,U16788,mobile,organic_search,South,checkout_start,2025-11-03 04:04:00,
S100042,U16788,mobile,organic_search,South,purchase,2025-11-03 04:10:00,56.74
S100043,U27300,desktop,email,West,view_product,2025-11-02 01:05:00,
S100044,U28132,desktop,paid_ads,North,view_product,2025-10-01 10:49:00,
S100044,U28132,desktop,paid_ads,North,add_to_cart,2025-10-01 10:54:00,
S100044,U28132,desktop,paid_ads,North,checkout_start,2025-10-01 10:58:00,
S100044,U28132,desktop,paid_ads,North,purchase,2025-10-01 11:05:00,129.99
S100045,U17331,mobile,email,North,view_product,2025-12-28 04:34:00,
S100045,U17331,mobile,email,North,add_to_cart,2025-12-28 04:40:00,
S100045,U17331,mobile,email,North,checkout_start,2025-12-28 04:42:00,
S100045,U17331,mobile,email,North,purchase,2025-12-28 04:43:00,78.19
S100046,U12614,desktop,paid_ads,East,view_product,2025-10-27 21:15:00,
S100047,U33178,desktop,paid_ads,West,view_product,2025-12-19 23:09:00,
S100048,U25514,mobile,paid_ads,South,view_product,2025-10-23 13:01:00,
S100048,U25514,mobile,paid_ads,South,add_to_cart,2025-10-23 13:07:00,
S100049,U36982,mobile,organic_search,South,view_product,2025-11-04 05:50:00,
S100050,U35070,mobile,email,North,view_product,2025-11-30 07:12:00,
S100051,U40166,mobile,paid_ads,East,view_product,2025-11-09 07:14:00,
S100051,U40166,mobile,paid_ads,East,add_to_cart,2025-11-09 07:18:00,
S100051,U40166,mobile,paid_ads,East,checkout_start,2025-11-09 07:21:00,
S100052,U28292,desktop,organic_search,East,view_product,2025-12-22 16:25:00,
S100053,U31702,mobile,direct,North,view_product,2025-10-15 08:11:00,
S100054,U27397,mobile,organic_search,North,view_product,2025-10-14 19:27:00,
S100055,U30557,mobile,organic_search,West,view_product,2025-12-17 16:07:00,
S100056,U22457,desktop,direct,East,view_product,2025-10-06 22:27:00,
S100056,U22457,desktop,direct,East,add_to_cart,2025-10-06 22:31:00,
S100056,U22457,desktop,direct,East,checkout_start,2025-10-06 22:32:00,
S100057,U31639,desktop,direct,East,view_product,2025-12-24 03:46:00,
S100058,U43234,desktop,organic_search,East,view_product,2025-12-25 13:20:00,
S100059,U29376,desktop,paid_ads,South,view_product,2025-10-25 13:42:00,
S100060,U21405,desktop,direct,East,view_product,2025-11-21 17:53:00,
S100060,U21405,desktop,direct,East,add_to_cart,2025-11-21 17:58:00,
S100060,U21405,desktop,direct,East,checkout_start,2025-11-21 18:03:00,
S100060,U21405,desktop,direct,East,purchase,2025-11-21 18:09:00,110.32
S100061,U38977,mobile,organic_search,South,view_product,2025-12-05 15:50:00,
S100062,U21120,mobile,paid_ads,North,view_product,2025-11-06 16:42:00,
S100063,U31966,desktop,direct,North,view_product,2025-10-31 21:19:00,
S100063,U31966,desktop,direct,North,add_to_cart,2025-10-31 21:23:00,
S100063,U31966,desktop,direct,North,checkout_start,2025-10-31 21:24:00,
S100063,U31966,desktop,direct,North,purchase,2025-10-31 21:32:00,140.31
S100064,U14772,mobile,paid_ads,West,view_product,2025-11-23 20:36:00,
S100064,U14772,mobile,paid_ads,West,add_to_cart,2025-11-23 20:43:00,
S100065,U25989,mobile,organic_search,South,view_product,2025-12-23 22:00:00,
S100066,U16985,mobile,organic_search,West,view_product,2025-10-29 05:51:00,
S100067,U43944,tablet,organic_search,West,view_product,2025-10-07 17:15:00,
S100068,U17953,mobile,email,West,view_product,2025-10-18 14:42:00,
S100069,U30794,mobile,social,West,view_product,2025-12-18 23:57:00,
S100070,U39223,tablet,organic_search,South,view_product,2025-11-30 14:16:00,
S100071,U28173,mobile,organic_search,West,view_product,2025-12-20 07:17:00,
S100072,U28725,mobile,organic_search,South,view_product,2025-11-04 10:20:00,
S100073,U15280,desktop,paid_ads,South,view_product,2025-10-20 07:24:00,
S100074,U24021,mobile,organic_search,North,view_product,2025-11-23 13:21:00,
S100075,U37248,desktop,organic_search,North,view_product,2025-10-27 13:24:00,
S100076,U11280,mobile,paid_ads,West,view_product,2025-12-01 00:22:00,
S100077,U35558,tablet,organic_search,West,view_product,2025-12-08 23:47:00,
S100078,U24453,desktop,direct,West,view_product,2025-10-29 08:27:00,
S100079,U35484,mobile,email,East,view_product,2025-12-25 21:51:00,
S100080,U20816,mobile,email,West,view_product,2025-10-17 19:34:00,
S100080,U20816,mobile,email,West,add_to_cart,2025-10-17 19:41:00,
S100080,U20816,mobile,email,West,checkout_start,2025-10-17 19:47:00,
S100080,U20816,mobile,email,West,purchase,2025-10-17 19:54:00,42.82
S100081,U40257,desktop,paid_ads,South,view_product,2025-10-07 08:24:00,
S100082,U39799,mobile,direct,East,view_product,2025-11-13 12:17:00,
S100083,U37627,mobile,organic_search,East,view_product,2025-10-11 15:01:00,
S100084,U13413,mobile,paid_ads,East,view_product,2025-10-29 20:04:00,
S100085,U12638,desktop,organic_search,North,view_product,2025-11-01 06:53:00,
S100085,U12638,desktop,organic_search,North,add_to_cart,2025-11-01 06:56:00,
S100085,U12638,desktop,organic_search,North,checkout_start,2025-11-01 07:00:00,
S100085,U12638,desktop,organic_search,North,purchase,2025-11-01 07:10:00,209.29
S100086,U40476,mobile,organic_search,East,view_product,2025-11-17 05:38:00,
S100087,U17506,desktop,organic_search,South,view_product,2025-11-09 03:37:00,
S100087,U17506,desktop,organic_search,South,add_to_cart,2025-11-09 03:42:00,
S100087,U17506,desktop,organic_search,South,checkout_start,2025-11-09 03:46:00,
S100087,U17506,desktop,organic_search,South,purchase,2025-11-09 03:50:00,30.58
S100088,U25915,desktop,paid_ads,North,view_product,2025-12-29 09:54:00,
S100089,U17933,tablet,organic_search,North,view_product,2025-11-14 17:27:00,
S100090,U14519,mobile,organic_search,East,view_product,2025-10-02 13:52:00,
S100091,U38411,desktop,direct,East,view_product,2025-12-21 14:45:00,
S100091,U38411,desktop,direct,East,add_to_cart,2025-12-21 14:48:00,
S100091,U38411,desktop,direct,East,checkout_start,2025-12-21 14:54:00,
S100091,U38411,desktop,direct,East,purchase,2025-12-21 15:03:00,173.8
S100092,U40465,mobile,email,West,view_product,2025-12-15 08:20:00,
S100093,U15679,desktop,paid_ads,East,view_product,2025-11-27 07:48:00,
S100094,U34837,mobile,organic_search,East,view_product,2025-10-04 15:54:00,
S100095,U41952,mobile,direct,South,view_product,2025-11-15 08:21:00,
S100095,U41952,mobile,direct,South,add_to_cart,2025-11-15 08:26:00,
S100095,U41952,mobile,direct,South,checkout_start,2025-11-15 08:31:00,
S100096,U15610,desktop,email,South,view_product,2025-11-22 15:35:00,
S100097,U41201,mobile,organic_search,West,view_product,2025-11-27 00:05:00,
S100098,U36502,desktop,direct,South,view_product,2025-11-09 21:37:00,
S100098,U36502,desktop,direct,South,add_to_cart,2025-11-09 21:43:00,
S100098,U36502,desktop,direct,South,checkout_start,2025-11-09 21:49:00,
S100098,U36502,desktop,direct,South,purchase,2025-11-09 21:55:00,159.09
S100099,U27754,desktop,direct,East,view_product,2025-11-02 07:07:00,
S100100,U30679,desktop,organic_search,North,view_product,2025-12-08 22:11:00,
S100100,U30679,desktop,organic_search,North,add_to_cart,2025-12-08 22:19:00,
S100100,U30679,desktop,organic_search,North,checkout_start,2025-12-08 22:24:00,
S100101,U44382,mobile,direct,East,view_product,2025-10-13 06:18:00,
S100101,U44382,mobile,direct,East,add_to_cart,2025-10-13 06:21:00,
S100101,U44382,mobile,direct,East,checkout_start,2025-10-13 06:27:00,
S100101,U44382,mobile,direct,East,purchase,2025-10-13 06:32:00,24.33
S100102,U13573,desktop,organic_search,East,view_product,2025-12-29 04:40:00,
S100103,U42170,mobile,email,North,view_product,2025-10-02 18:18:00,
S100104,U38866,mobile,organic_search,East,view_product,2025-10-24 01:16:00,
S100105,U41308,mobile,email,North,view_product,2025-10-09 12:31:00,
S100105,U41308,mobile,email,North,add_to_cart,2025-10-09 12:32:00,
S100105,U41308,mobile,email,North,checkout_start,2025-10-09 12:37:00,
S100106,U15582,desktop,organic_search,South,view_product,2025-10-16 17:48:00,
S100107,U24790,desktop,organic_search,West,view_product,2025-11-27 14:19:00,
S100108,U38103,mobile,email,East,view_product,2025-12-12 19:03:00,
S100109,U16503,desktop,direct,South,view_product,2025-12-20 06:16:00,
S100110,U20292,desktop,paid_ads,South,view_product,2025-10-23 17:04:00,
S100110,U20292,desktop,paid_ads,South,add_to_cart,2025-10-23 17:11:00,
S100110,U20292,desktop,paid_ads,South,checkout_start,2025-10-23 17:16:00,
S100110,U20292,desktop,paid_ads,South,purchase,2025-10-23 17:17:00,62.45
S100111,U28528,mobile,paid_ads,West,view_product,2025-10-10 21:14:00,
S100112,U22964,mobile,organic_search,West,view_product,2025-10-15 17:14:00,
S100113,U27408,tablet,paid_ads,South,view_product,2025-10-10 01:10:00,
S100114,U28914,desktop,email,West,view_product,2025-10-16 14:44:00,
S100114,U28914,desktop,email,West,add_to_cart,2025-10-16 14:51:00,
S100115,U42798,desktop,paid_ads,West,view_product,2025-11-26 02:38:00,
S100115,U42798,desktop,paid_ads,West,add_to_cart,2025-11-26 02:45:00,
S100116,U26408,mobile,paid_ads,North,view_product,2025-10-12 07:43:00,
S100117,U11359,mobile,email,East,view_product,2025-12-13 01:48:00,
S100118,U40834,mobile,organic_search,West,view_product,2025-11-05 05:37:00,
S100119,U42225,desktop,organic_search,North,view_product,2025-11-30 11:26:00,
S100119,U42225,desktop,organic_search,North,add_to_cart,2025-11-30 11:28:00,
S100120,U31614,tablet,social,West,view_product,2025-12-28 15:18:00,
S100121,U36244,desktop,paid_ads,North,view_product,2025-11-28 02:20:00,
S100121,U36244,desktop,paid_ads,North,add_to_cart,2025-11-28 02:22:00,
S100122,U36488,mobile,social,North,view_product,2025-12-24 17:29:00,
S100123,U22293,mobile,social,East,view_product,2025-12-19 15:40:00,
S100124,U13382,tablet,direct,South,view_product,2025-11-04 17:08:00,
S100125,U38712,mobile,paid_ads,West,view_product,2025-10-16 00:40:00,
S100126,U25682,desktop,organic_search,South,view_product,2025-11-09 17:00:00,
S100127,U16108,mobile,paid_ads,South,view_product,2025-10-15 14:07:00,
S100128,U20090,tablet,email,West,view_product,2025-11-07 16:45:00,
S100128,U20090,tablet,email,West,add_to_cart,2025-11-07 16:53:00,
S100129,U25973,mobile,organic_search,West,view_product,2025-12-10 04:24:00,
S100129,U25973,mobile,organic_search,West,add_to_cart,2025-12-10 04:27:00,
S100130,U28104,desktop,social,West,view_product,2025-11-13 16:17:00,
S100131,U28536,mobile,paid_ads,East,view_product,2025-12-15 18:42:00,
S100132,U19738,desktop,email,West,view_product,2025-12-08 15:22:00,
S100132,U19738,desktop,email,West,add_to_cart,2025-12-08 15:29:00,
S100132,U19738,desktop,email,West,checkout_start,2025-12-08 15:32:00,
S100132,U19738,desktop,email,West,purchase,2025-12-08 15:36:00,132.22
S100133,U25306,desktop,email,West,view_product,2025-10-06 10:47:00,
S100134,U34984,mobile,organic_search,West,view_product,2025-12-24 20:09:00,
S100135,U12426,desktop,direct,South,view_product,2025-12-04 18:21:00,
S100136,U38855,desktop,social,North,view_product,2025-12-07 14:00:00,
S100137,U36868,mobile,paid_ads,South,view_product,2025-10-10 15:50:00,
S100138,U32187,desktop,email,West,view_product,2025-12-23 02:54:00,
S100138,U32187,desktop,email,West,add_to_cart,2025-12-23 03:01:00,
S100139,U41978,desktop,direct,North,view_product,2025-12-19 02:15:00,
S100140,U28833,desktop,organic_search,South,view_product,2025-10-12 13:06:00,
S100141,U16586,mobile,organic_search,West,view_product,2025-10-22 22:19:00,
S100142,U13014,mobile,organic_search,East,view_product,2025-10-08 09:22:00,
S100143,U19540,mobile,paid_ads,South,view_product,2025-12-07 13:36:00,
S100144,U21800,mobile,paid_ads,South,view_product,2025-10-23 02:39:00,
S100145,U25783,mobile,organic_search,West,view_product,2025-12-14 04:14:00,
S100146,U26644,desktop,paid_ads,West,view_product,2025-11-02 21:00:00,
S100147,U40490,mobile,paid_ads,East,view_product,2025-12-26 17:10:00,
S100147,U40490,mobile,paid_ads,East,add_to_cart,2025-12-26 17:16:00,
S100148,U29605,desktop,organic_search,West,view_product,2025-12-28 08:29:00,
S100149,U23055,desktop,organic_search,West,view_product,2025-12-01 03:15:00,
S100150,U33524,mobile,paid_ads,East,view_product,2025-12-29 09:01:00,
S100151,U35939,mobile,email,East,view_product,2025-10-02 18:55:00,
S100152,U13214,desktop,social,West,view_product,2025-11-06 07:38:00,
S100153,U24352,mobile,organic_search,South,view_product,2025-12-19 08:43:00,
S100154,U18963,desktop,organic_search,North,view_product,2025-12-20 20:02:00,
S100154,U18963,desktop,organic_search,North,add_to_cart,2025-12-20 20:10:00,
S100154,U18963,desktop,organic_search,North,checkout_start,2025-12-20 20:13:00,
S100154,U18963,desktop,organic_search,North,purchase,2025-12-20 20:15:00,201.47
S100155,U31411,mobile,organic_search,West,view_product,2025-10-23 06:08:00,
S100156,U33976,mobile,social,East,view_product,2025-10-22 08:58:00,
S100157,U41578,desktop,email,East,view_product,2025-11-13 03:29:00,
S100158,U19224,mobile,organic_search,South,view_product,2025-12-26 23:43:00,
S100159,U33971,mobile,organic_search,North,view_product,2025-11-20 00:16:00,
S100160,U39804,mobile,email,East,view_product,2025-12-26 23:43:00,
S100160,U39804,mobile,email,East,add_to_cart,2025-12-26 23:50:00,
S100161,U34344,desktop,organic_search,North,view_product,2025-12-26 07:30:00,
S100161,U34344,desktop,organic_search,North,add_to_cart,2025-12-26 07:36:00,
S100162,U24507,tablet,email,North,view_product,2025-12-21 14:58:00,
S100163,U36758,mobile,email,North,view_product,2025-10-18 01:02:00,
S100163,U36758,mobile,email,North,add_to_cart,2025-10-18 01:10:00,
S100163,U36758,mobile,email,North,checkout_start,2025-10-18 01:12:00,
S100164,U18890,mobile,organic_search,West,view_product,2025-11-28 11:42:00,
S100165,U37467,mobile,direct,South,view_product,2025-11-23 20:06:00,
S100166,U36746,mobile,organic_search,East,view_product,2025-10-05 22:23:00,
S100166,U36746,mobile,organic_search,East,add_to_cart,2025-10-05 22:31:00,
S100167,U33768,mobile,organic_search,North,view_product,2025-12-27 11:34:00,
S100168,U33506,desktop,email,North,view_product,2025-11-20 08:12:00,
S100169,U39800,mobile,organic_search,North,view_product,2025-12-24 06:41:00,
S100170,U11399,mobile,paid_ads,North,view_product,2025-11-12 07:08:00,
S100171,U23448,mobile,paid_ads,North,view_product,2025-12-10 06:37:00,
S100171,U23448,mobile,paid_ads,North,add_to_cart,2025-12-10 06:41:00,
S100171,U23448,mobile,paid_ads,North,checkout_start,2025-12-10 06:43:00,
S100172,U10185,mobile,email,East,view_product,2025-10-19 04:34:00,
S100172,U10185,mobile,email,East,add_to_cart,2025-10-19 04:37:00,
S100172,U10185,mobile,email,East,checkout_start,2025-10-19 04:38:00,
S100172,U10185,mobile,email,East,purchase,2025-10-19 04:44:00,176.95
S100173,U25593,desktop,organic_search,East,view_product,2025-10-03 05:16:00,
S100173,U25593,desktop,organic_search,East,add_to_cart,2025-10-03 05:23:00,
S100173,U25593,desktop,organic_search,East,checkout_start,2025-10-03 05:29:00,
S100173,U25593,desktop,organic_search,East,purchase,2025-10-03 05:37:00,174.49
S100174,U43635,mobile,email,North,view_product,2025-11-27 16:14:00,
S100175,U12841,mobile,direct,East,view_product,2025-11-28 20:01:00,
S100175,U12841,mobile,direct,East,add_to_cart,2025-11-28 20:09:00,
S100176,U37936,desktop,organic_search,North,view_product,2025-12-02 22:58:00,
S100177,U15294,mobile,email,East,view_product,2025-12-17 04:04:00,
S100177,U15294,mobile,email,East,add_to_cart,2025-12-17 04:10:00,
S100177,U15294,mobile,email,East,checkout_start,2025-12-17 04:15:00,
S100177,U15294,mobile,email,East,purchase,2025-12-17 04:23:00,118.64
S100178,U38193,mobile,paid_ads,North,view_product,2025-12-29 03:54:00,
S100179,U24091,tablet,paid_ads,West,view_product,2025-11-27 07:26:00,
S100180,U39720,mobile,email,West,view_product,2025-11-23 23:06:00,
S100180,U39720,mobile,email,West,add_to_cart,2025-11-23 23:12:00,
S100181,U34530,mobile,paid_ads,South,view_product,2025-12-27 15:04:00,
S100181,U34530,mobile,paid_ads,South,add_to_cart,2025-12-27 15:06:00,
S100181,U34530,mobile,paid_ads,South,checkout_start,2025-12-27 15:07:00,
S100182,U34421,tablet,paid_ads,South,view_product,2025-12-11 01:37:00,
S100183,U31603,tablet,social,North,view_product,2025-11-22 11:55:00,
S100184,U37717,mobile,organic_search,North,view_product,2025-11-06 19:19:00,
S100185,U43253,mobile,organic_search,South,view_product,2025-10-20 21:30:00,
S100185,U43253,mobile,organic_search,South,add_to_cart,2025-10-20 21:32:00,
S100185,U43253,mobile,organic_search,South,checkout_start,2025-10-20 21:37:00,
S100185,U43253,mobile,organic_search,South,purchase,2025-10-20 21:42:00,132.69
S100186,U38122,mobile,email,North,view_product,2025-12-17 21:53:00,
S100187,U11897,mobile,organic_search,South,view_product,2025-11-04 22:48:00,
S100188,U32270,desktop,organic_search,East,view_product,2025-10-01 05:55:00,
S100188,U32270,desktop,organic_search,East,add_to_cart,2025-10-01 06:02:00,
S100188,U32270,desktop,organic_search,East,checkout_start,2025-10-01 06:08:00,
S100188,U32270,desktop,organic_search,East,purchase,2025-10-01 06:09:00,33.81
S100189,U44765,desktop,organic_search,South,view_product,2025-11-18 13:29:00,
S100189,U44765,desktop,organic_search,South,add_to_cart,2025-11-18 13:35:00,
S100189,U44765,desktop,organic_search,South,checkout_start,2025-11-18 13:38:00,
S100189,U44765,desktop,organic_search,South,purchase,2025-11-18 13:48:00,137.23
S100190,U13447,mobile,email,South,view_product,2025-10-21 19:03:00,
S100191,U27832,desktop,direct,West,view_product,2025-12-24 13:31:00,
S100192,U37143,desktop,direct,East,view_product,2025-10-28 16:07:00,
S100192,U37143,desktop,direct,East,add_to_cart,2025-10-28 16:09:00,
S100192,U37143,desktop,direct,East,checkout_start,2025-10-28 16:15:00,
S100192,U37143,desktop,direct,East,purchase,2025-10-28 16:24:00,151.76
S100193,U12976,mobile,organic_search,South,view_product,2025-11-20 19:03:00,
S100193,U12976,mobile,organic_search,South,add_to_cart,2025-11-20 19:08:00,
S100194,U18993,desktop,direct,East,view_product,2025-11-07 10:07:00,
S100194,U18993,desktop,direct,East,add_to_cart,2025-11-07 10:14:00,
S100194,U18993,desktop,direct,East,checkout_start,2025-11-07 10:18:00,
S100194,U18993,desktop,direct,East,purchase,2025-11-07 10:22:00,117.55
S100195,U33210,tablet,paid_ads,North,view_product,2025-11-20 23:02:00,
S100196,U40130,mobile,direct,North,view_product,2025-11-10 18:27:00,
S100197,U37373,mobile,social,East,view_product,2025-10-15 12:01:00,
S100198,U21263,desktop,paid_ads,West,view_product,2025-12-28 11:05:00,
S100199,U16937,desktop,direct,South,view_product,2025-11-25 18:25:00,
S100200,U35936,mobile,social,East,view_product,2025-11-13 07:21:00,
S100201,U15005,mobile,direct,North,view_product,2025-12-07 16:12:00,
S100202,U32896,mobile,direct,East,view_product,2025-12-22 04:15:00,
S100202,U32896,mobile,direct,East,add_to_cart,2025-12-22 04:20:00,
S100202,U32896,mobile,direct,East,checkout_start,2025-12-22 04:25:00,
S100202,U32896,mobile,direct,East,purchase,2025-12-22 04:27:00,51.31
S100203,U42382,mobile,organic_search,West,view_product,2025-12-12 18:28:00,
S100204,U31181,desktop,organic_search,East,view_product,2025-10-20 14:04:00,
S100205,U29845,mobile,social,East,view_product,2025-12-15 01:22:00,
S100206,U30342,tablet,paid_ads,West,view_product,2025-11-27 01:03:00,
S100207,U28813,desktop,paid_ads,North,view_product,2025-12-22 02:39:00,
S100208,U35197,mobile,organic_search,West,view_product,2025-12-14 17:50:00,
S100209,U12688,desktop,direct,West,view_product,2025-12-13 20:12:00,
S100209,U12688,desktop,direct,West,add_to_cart,2025-12-13 20:20:00,
S100209,U12688,desktop,direct,West,checkout_start,2025-12-13 20:21:00,
S100209,U12688,desktop,direct,West,purchase,2025-12-13 20:27:00,216.39
S100210,U15526,desktop,direct,South,view_product,2025-10-06 07:45:00,
S100211,U38797,mobile,paid_ads,South,view_product,2025-11-16 11:58:00,
S100212,U36789,mobile,paid_ads,East,view_product,2025-12-26 19:03:00,
S100213,U31931,mobile,direct,North,view_product,2025-11-12 03:35:00,
S100214,U28621,mobile,organic_search,East,view_product,2025-12-24 19:55:00,
S100214,U28621,mobile,organic_search,East,add_to_cart,2025-12-24 19:57:00,
S100215,U19268,mobile,direct,East,view_product,2025-11-09 20:44:00,
S100216,U18450,desktop,organic_search,North,view_product,2025-11-09 17:24:00,
S100217,U31527,mobile,email,South,view_product,2025-12-25 22:53:00,
S100218,U44497,mobile,direct,North,view_product,2025-12-22 21:27:00,
S100219,U11194,desktop,organic_search,East,view_product,2025-11-09 05:13:00,
S100219,U11194,desktop,organic_search,East,add_to_cart,2025-11-09 05:21:00,
S100219,U11194,desktop,organic_search,East,checkout_start,2025-11-09 05:23:00,
S100219,U11194,desktop,organic_search,East,purchase,2025-11-09 05:28:00,188.11
S100220,U16628,mobile,social,North,view_product,2025-12-24 10:56:00,
S100221,U18588,mobile,paid_ads,West,view_product,2025-10-20 05:11:00,
S100222,U20848,desktop,social,West,view_product,2025-10-06 13:23:00,
S100223,U25566,tablet,direct,West,view_product,2025-12-18 09:48:00,
S100224,U39420,mobile,organic_search,South,view_product,2025-12-08 07:19:00,
S100225,U40737,desktop,paid_ads,South,view_product,2025-11-17 21:36:00,
S100226,U40256,mobile,social,East,view_product,2025-11-18 16:33:00,
S100227,U20620,mobile,paid_ads,South,view_product,2025-12-17 04:55:00,
S100228,U41495,mobile,paid_ads,East,view_product,2025-12-10 03:45:00,
S100229,U18170,mobile,organic_search,East,view_product,2025-10-11 05:17:00,
S100230,U43643,mobile,email,South,view_product,2025-11-25 02:58:00,
S100230,U43643,mobile,email,South,add_to_cart,2025-11-25 03:06:00,
